"UUID","OBJEKTART","OBJEKTKLASSE_TLM","HOEHE","GEBAEUDENUTZUNG","NAME_UUID","NAME","STATUS","SPRACHCODE","NAMEN_TYP","NAMENGRUPPE_UUID","E","N","Z"
"{DC0A5C77-515A-4A23-B26B-5A6B9584A928}","Gipfel","TLM_NAME_PKT",2344,"k_W","{28F58EE8-794B-41C1-BCCA-3BA291239C9D}","Cima Buzzi","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2804015,1122882,2343
"{700BB132-84ED-4276-95BB-4E4A2C797B85}","Gipfel","TLM_NAME_PKT",2279,"k_W","{D0F3237F-75C6-4F03-899F-37926A4BFEB3}","Vetta Salarsa","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2805338,1123084,2278
"{A8EAC38F-8218-492B-BDBF-7E3A6D98FE95}","Hauptgipfel","TLM_NAME_PKT",2900,"k_W","{E0A49E5E-29D7-4934-9022-792873EBD755}","Piz Combul","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2800960,1123136,2898
"{E2096FEA-F105-41E0-90E2-3FC0E76F827B}","Hauptgipfel","TLM_NAME_PKT",2876,"k_W","{6107F930-F3A7-4028-930E-E4BBD8ED45F3}","Piz Malgina","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2801842,1124665,2875
"{924839CE-57EE-4F4F-B048-F6ABA3E369A8}","Hauptgipfel","TLM_NAME_PKT",2513,"k_W","{77E1F74D-594C-475F-83B4-34A753DF5CD4}","Corn dal Solcun","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2803936,1126158,2512
"{6700F753-E20B-4173-997D-84B57A4820C0}","Hauptgipfel","TLM_NAME_PKT",2779,"k_W","{493DC462-79E9-44FC-BB8D-7E25BCAAC02B}","Piz Sareggio","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2801795,1126202,2779
"{78446BCF-F23E-4034-8B41-2A8673772296}","Gipfel","TLM_NAME_PKT",2040,"k_W","{E9C17EC7-D9ED-424A-807B-C2E0213FDE90}","Giümelin","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2805496,1126290,2031
"{4FF5822F-CDEB-47BB-A775-C5A88EE0B385}","Hauptgipfel","TLM_NAME_PKT",2666,"k_W","{E2514F21-3215-4566-BA5E-D8A53BC21A5F}","Piz Mürasc","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2802438,1126498,2664
"{19BDA234-8766-46CC-A91D-7AA86188C69D}","Hauptgipfel","TLM_NAME_PKT",2766,"k_W","{9D34CA12-66D1-4484-BD2C-FA2E649967B4}","Pizzo Murascio","offiziell","Italienisch inkl. Lokalsprachen","Einfacher Name",NA,2801751,1127054,2766
"{D806454A-ABB1-4E5C-A96D-6DDCA2ABCAAF}","Hauptgipfel","TLM_NAME_PKT",2804,"k_W","{8B4A29F8-CD06-40DB-84A8-FE7BDD0EC6C8}","Corn di Marsc","offiziell","Italienisch inkl. Lokalsprachen","Endonym","{A1F78FF0-6EED-4B37-9AFF-901100A615D4}",2800952,1127606,2803
